지점,지점명,일시,SPI1
95,철원,2018-03-05,.298
95,철원,2018-03-06,.277
95,철원,2018-03-07,.274
95,철원,2018-03-08,.331
95,철원,2018-03-09,.279
95,철원,2018-03-10,.266
95,철원,2018-03-11,.235
95,철원,2018-03-12,.276
95,철원,2018-03-13,.252
95,철원,2018-03-14,.226
95,철원,2018-03-15,.629
95,철원,2018-03-16,.582
95,철원,2018-03-17,.618
95,철원,2018-03-18,.697
95,철원,2018-03-19,.662
95,철원,2018-03-20,.666
95,철원,2018-03-21,.691
95,철원,2018-03-22,.625
95,철원,2018-03-23,.622
95,철원,2018-03-24,.566
95,철원,2018-03-25,.445
95,철원,2018-03-26,.443
95,철원,2018-03-27,.398
95,철원,2018-03-28,.396
95,철원,2018-03-29,.409
95,철원,2018-03-30,.097
95,철원,2018-03-31,.04
95,철원,2018-04-01,.07
95,철원,2018-04-02,-.046
95,철원,2018-04-03,-.252
95,철원,2018-04-04,.155
95,철원,2018-04-05,.471
95,철원,2018-04-06,.534
95,철원,2018-04-07,.362
95,철원,2018-04-08,.596
95,철원,2018-04-09,.572
95,철원,2018-04-10,.952
95,철원,2018-04-11,.954
95,철원,2018-04-12,.776
95,철원,2018-04-13,.75
95,철원,2018-04-14,.74
95,철원,2018-04-15,.726
95,철원,2018-04-16,.695
95,철원,2018-04-17,.609
95,철원,2018-04-18,.519
95,철원,2018-04-19,.392
95,철원,2018-04-20,.326
95,철원,2018-04-21,.255
95,철원,2018-04-22,.452
95,철원,2018-04-23,1.669
95,철원,2018-04-24,1.583
95,철원,2018-04-25,1.531
95,철원,2018-04-26,1.501
95,철원,2018-04-27,1.483
95,철원,2018-04-28,1.462
95,철원,2018-04-29,1.368
95,철원,2018-04-30,1.359
95,철원,2018-05-01,1.351
95,철원,2018-05-02,1.526
95,철원,2018-05-03,1.437
95,철원,2018-05-04,1.263
95,철원,2018-05-05,1.164
95,철원,2018-05-06,1.173
95,철원,2018-05-07,1.164
95,철원,2018-05-08,.989
95,철원,2018-05-09,.918
95,철원,2018-05-10,.775
95,철원,2018-05-11,.741
95,철원,2018-05-12,1.008
95,철원,2018-05-13,.837
95,철원,2018-05-14,.702
95,철원,2018-05-15,.704
95,철원,2018-05-16,1.281
95,철원,2018-05-17,2.12
95,철원,2018-05-18,2.255
95,철원,2018-05-19,2.171
95,철원,2018-05-20,2.106
95,철원,2018-05-21,2.102
95,철원,2018-05-22,2.161
95,철원,2018-05-23,1.825
95,철원,2018-05-24,1.768
95,철원,2018-05-25,1.764
95,철원,2018-05-26,1.78
95,철원,2018-05-27,1.793
95,철원,2018-05-28,1.793
95,철원,2018-05-29,1.821
95,철원,2018-05-30,1.767
95,철원,2018-05-31,1.676
95,철원,2018-06-01,1.517
95,철원,2018-06-02,1.535
95,철원,2018-06-03,1.495
95,철원,2018-06-04,1.508
95,철원,2018-06-05,1.485
95,철원,2018-06-06,1.575
95,철원,2018-06-07,1.562
95,철원,2018-06-08,1.612
95,철원,2018-06-09,1.588
95,철원,2018-06-10,1.609
95,철원,2018-06-11,1.622
95,철원,2018-06-12,1.825
95,철원,2018-06-13,1.782
95,철원,2018-06-14,1.882
95,철원,2018-06-15,1.42
95,철원,2018-06-16,-.344
95,철원,2018-06-17,-.766
95,철원,2018-06-18,-.762
95,철원,2018-06-19,-.697
95,철원,2018-06-20,-.721
95,철원,2018-06-21,-1.069
95,철원,2018-06-22,-1.355
95,철원,2018-06-23,-1.274
95,철원,2018-06-24,-1.375
95,철원,2018-06-25,-1.63
95,철원,2018-06-26,.138
95,철원,2018-06-27,.083
95,철원,2018-06-28,.407
95,철원,2018-06-29,.346
95,철원,2018-06-30,.277
95,철원,2018-07-01,.615
95,철원,2018-07-02,.759
95,철원,2018-07-03,.718
95,철원,2018-07-04,.69
95,철원,2018-07-05,.604
95,철원,2018-07-06,.579
95,철원,2018-07-07,.552
95,철원,2018-07-08,.42
95,철원,2018-07-09,.464
95,철원,2018-07-10,.725
